step,current_phase,phase_timer,requested_action,action_valid,safe_action,mask_ph0,mask_ph1,mask_ph2,mask_ph3,yellow_active,violations_intercepted
193,0,5,0,1,0,1,0,0,0,1,128
194,0,5,0,1,0,1,0,0,0,1,128
195,0,5,1,0,0,1,0,0,0,1,129
196,0,0,0,1,0,1,0,0,0,0,129
197,0,1,1,0,0,1,0,0,0,0,130
198,0,2,3,0,0,1,0,0,0,0,131
199,0,3,2,0,0,1,0,0,0,0,132
200,0,4,2,0,0,1,0,0,0,0,133
201,0,5,1,1,1,1,1,1,1,0,133
202,0,5,0,1,0,1,0,0,0,1,133
203,0,5,0,1,0,1,0,0,0,1,133
204,0,5,1,0,0,1,0,0,0,1,134
205,0,0,0,1,0,1,0,0,0,0,134
206,0,1,3,0,0,1,0,0,0,0,135
207,0,2,3,0,0,1,0,0,0,0,136
208,0,3,3,0,0,1,0,0,0,0,137
209,0,4,2,0,0,1,0,0,0,0,138
210,0,5,2,1,2,1,1,1,1,0,138
211,0,5,2,0,0,1,0,0,0,1,139
212,0,5,1,0,0,1,0,0,0,1,140
213,0,5,2,0,0,1,0,0,0,1,141
214,0,0,3,0,0,1,0,0,0,0,142
215,0,1,3,0,0,1,0,0,0,0,143
216,0,2,2,0,0,1,0,0,0,0,144
217,0,3,0,1,0,1,0,0,0,0,144
218,0,4,2,0,0,1,0,0,0,0,145
219,0,5,1,1,1,1,1,1,1,0,145
220,0,5,2,0,0,1,0,0,0,1,146
221,0,5,2,0,0,1,0,0,0,1,147
222,0,5,3,0,0,1,0,0,0,1,148
223,0,0,1,0,0,1,0,0,0,0,149
224,0,1,3,0,0,1,0,0,0,0,150
225,0,2,3,0,0,1,0,0,0,0,151
226,0,3,1,0,0,1,0,0,0,0,152
227,0,4,1,0,0,1,0,0,0,0,153
228,0,5,2,1,2,1,1,1,1,0,153
229,0,5,3,0,0,1,0,0,0,1,154
230,0,5,2,0,0,1,0,0,0,1,155
231,0,5,3,0,0,1,0,0,0,1,156
232,0,0,1,0,0,1,0,0,0,0,157
233,0,1,2,0,0,1,0,0,0,0,158
234,0,2,1,0,0,1,0,0,0,0,159
235,0,3,3,0,0,1,0,0,0,0,160
236,0,4,1,0,0,1,0,0,0,0,161
237,0,5,2,1,2,1,1,1,1,0,161
238,0,5,0,1,0,1,0,0,0,1,161
239,0,5,3,0,0,1,0,0,0,1,162
240,0,5,1,0,0,1,0,0,0,1,163
241,0,0,1,0,0,1,0,0,0,0,164
242,0,1,2,0,0,1,0,0,0,0,165
243,0,2,1,0,0,1,0,0,0,0,166
244,0,3,3,0,0,1,0,0,0,0,167
245,0,4,2,0,0,1,0,0,0,0,168
246,0,5,2,1,2,1,1,1,1,0,168
247,0,5,0,1,0,1,0,0,0,1,168
248,0,5,0,1,0,1,0,0,0,1,168
249,0,5,1,0,0,1,0,0,0,1,169
250,0,0,3,0,0,1,0,0,0,0,170
251,0,1,3,0,0,1,0,0,0,0,171
252,0,2,2,0,0,1,0,0,0,0,172
253,0,3,2,0,0,1,0,0,0,0,173
254,0,4,1,0,0,1,0,0,0,0,174
255,0,5,0,1,0,1,1,1,1,0,174
256,0,6,0,1,0,1,1,1,1,0,174
257,0,7,1,1,1,1,1,1,1,0,174
258,0,7,1,0,0,1,0,0,0,1,175
259,0,7,0,1,0,1,0,0,0,1,175
260,0,7,1,0,0,1,0,0,0,1,176
261,0,0,0,1,0,1,0,0,0,0,176
262,0,1,2,0,0,1,0,0,0,0,177
263,0,2,3,0,0,1,0,0,0,0,178
264,0,3,2,0,0,1,0,0,0,0,179
265,0,4,1,0,0,1,0,0,0,0,180
266,0,5,1,1,1,1,1,1,1,0,180
267,0,5,1,0,0,1,0,0,0,1,181
268,0,5,0,1,0,1,0,0,0,1,181
269,0,5,2,0,0,1,0,0,0,1,182
270,0,0,2,0,0,1,0,0,0,0,183
271,0,1,0,1,0,1,0,0,0,0,183
272,0,2,1,0,0,1,0,0,0,0,184
273,0,3,1,0,0,1,0,0,0,0,185
274,0,4,0,1,0,1,0,0,0,0,185
275,0,5,2,1,2,1,1,1,1,0,185
276,0,5,2,0,0,1,0,0,0,1,186
277,0,5,2,0,0,1,0,0,0,1,187
278,0,5,2,0,0,1,0,0,0,1,188
279,0,0,3,0,0,1,0,0,0,0,189
280,0,1,3,0,0,1,0,0,0,0,190
281,0,2,2,0,0,1,0,0,0,0,191
282,0,3,3,0,0,1,0,0,0,0,192
283,0,4,1,0,0,1,0,0,0,0,193
284,0,5,3,1,3,1,1,1,1,0,193
285,0,5,3,0,0,1,0,0,0,1,194
286,0,5,2,0,0,1,0,0,0,1,195
287,0,5,3,0,0,1,0,0,0,1,196
288,0,0,2,0,0,1,0,0,0,0,197
289,0,1,2,0,0,1,0,0,0,0,198
290,0,2,1,0,0,1,0,0,0,0,199
291,0,3,3,0,0,1,0,0,0,0,200
292,0,4,2,0,0,1,0,0,0,0,201
293,0,5,3,1,3,1,1,1,1,0,201
294,0,5,1,0,0,1,0,0,0,1,202
295,0,5,3,0,0,1,0,0,0,1,203
296,0,5,0,1,0,1,0,0,0,1,203
297,0,0,0,1,0,1,0,0,0,0,203
298,0,1,2,0,0,1,0,0,0,0,204
299,0,2,2,0,0,1,0,0,0,0,205
